"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Leonid Hurwicz","1917-08-21","2008-06-24","Russia","RU","USA","US","male",2007,"Economics","""for having laid the foundations of mechanism design theory""","University of Minnesota","Minneapolis MN","USA",90,"University of Minnesota"
"Halldór Laxness","1902-04-23","1998-02-08","Iceland","IS","Iceland","IS","male",1955,"Literature","""for his vivid epic power which has renewed the great narrative art of Iceland""",NULL,NULL,NULL,53,NULL
"Camilo José Cela","1916-05-11","2002-01-17","Spain","ES","Spain","ES","male",1989,"Literature","""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",NULL,NULL,NULL,73,NULL
"Wislawa Szymborska","1923-07-02","2012-02-01","Poland","PL","Poland","PL","female",1996,"Literature","""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",NULL,NULL,NULL,73,NULL
"Richard Stone","1913-08-30","1991-12-06","United Kingdom","GB","United Kingdom","GB","male",1984,"Economics","""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""","University of Cambridge","Cambridge","United Kingdom",71,"University of Cambridge"
"Daniel L. McFadden","1937-07-29",NULL,"USA","US",NULL,NULL,"male",2000,"Economics","""for his development of theory and methods for analyzing discrete choice""","University of California","Berkeley CA","USA",63,"University of California"
"Nikolaas Tinbergen","1907-04-15","1988-12-21","the Netherlands","NL","United Kingdom","GB","male",1973,"Medicine","""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""","University of Oxford","Oxford","United Kingdom",66,"University of Oxford"
"Baruch S. Blumberg","1925-07-28","2011-04-05","USA","US","USA","US","male",1976,"Medicine","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""","The Institute for Cancer Research","Philadelphia PA","USA",51,"The Institute for Cancer Research"
"Pyotr Kapitsa","1894-07-09","1984-04-08","Russian Empire (now Russia)","RU","USSR (now Russia)","RU","male",1978,"Physics","""for his basic inventions and discoveries in the area of low-temperature physics""","Academy of Sciences","Moscow","USSR (now Russia)",84,"Academy of Sciences"
"Gerd Binnig","1947-07-20",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",1986,"Physics","""for their design of the scanning tunneling microscope""","IBM Zurich Research Laboratory","Rüschlikon","Switzerland",39,"IBM Zurich Research Laboratory"
"Claude Cohen-Tannoudji","1933-04-01",NULL,"French Algeria (now Algeria)","DZ",NULL,NULL,"male",1997,"Physics","""for development of methods to cool and trap atoms with laser light""","Collège de France","Paris","France",64,"Collège de France"
"Otto Wallach","1847-03-27","1931-02-26","Germany (now Russia)","RU","Germany","DE","male",1910,"Chemistry","""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""","Goettingen University","Göttingen","Germany",63,"Goettingen University"
"Artturi Virtanen","1895-01-15","1973-11-11","Russian Empire (now Finland)","FI","Finland","FI","male",1945,"Chemistry","""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""","University of Helsinki","Helsinki","Finland",50,"University of Helsinki"
"Osamu Shimomura","1928-08-27","2018-10-19","Japan","JP","Japan","JP","male",2008,"Chemistry","""for the discovery and development of the green fluorescent protein GFP""","Marine Biological Laboratory (MBL)","Woods Hole MA","USA",80,"Marine Biological Laboratory (MBL)"
"Tawakkol Karman","1979-02-07",NULL,"Yemen","YE",NULL,NULL,"female",2011,"Peace","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",NULL,NULL,NULL,32,NULL
"Arieh Warshel","1940-11-20",NULL,"British Mandate of Palestine (now Israel)","IL",NULL,NULL,"male",2013,"Chemistry","""for the development of multiscale models for complex chemical systems""","University of Southern California","Los Angeles CA","USA",73,"University of Southern California"
"Dmitry Muratov","1961-12-30",NULL,"USSR (now Russia)","RU",NULL,NULL,"male",2021,"Peace","""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",NULL,NULL,NULL,60,NULL
"John O'Keefe","1939-11-18",NULL,"USA","US",NULL,NULL,"male",2014,"Medicine","""for their discoveries of cells that constitute a positioning system in the brain""","University College","London","United Kingdom",75,"University College"
